Unique_ID,RSI_Site,Time,Vehicle_Type ,Vehicle_Occupancy,Origin_Postcode,Origin_Purpose,Destination_Postcode,Destination_Purpose,OriginX,OriginY,DestinationX,DestinationY,BlackcatOrig,BlackCatDest
1,C1,7:30,CAR / TAXI,4,PE274SQ,HOME,CB21DB,WORK,533955,272122,545298,258074,32843,32772
2,C1,7:30,CAR / TAXI,2,SG175PL,HOME,CB21TN,WORK,510701,238571,544734,258453,60190,32753
3,C1,7:30,CAR / TAXI,1,CB232NQ,HOME,CB21TN,WORK,534682,255185,544734,258453,33318,32753
4,C1,7:30,CAR / TAXI,1,CB232NQ,HOME,CB21TN,WORK,534682,255185,544734,258453,33318,32753
5,C1,7:30,CAR / TAXI,1,SG80JZ,VISIT FRIENDS,CB21TN,WORK,527702,244078,544734,258453,33412,32753
6,C1,7:30,CAR / TAXI,3,CB236BG,HOME,CB27AD,OTHER,532428,259277,545115,257541,33282,33131
7,C1,7:30,CAR / TAXI,2,PE196TG,HOME,CB27AD,EDUCATION,527097,259778,545115,257541,33253,33131
8,C1,7:30,LGV,1,PE196PZ,HOME,CB30AJ,WORK,518805,262296,544477,259244,32903,32753
9,C1,7:30,CAR / TAXI,1,CB237EB,HOME,CB58EN,WORK,538365,255593,546118,258886,33317,32773
10,C1,7:30,CAR / TAXI,2,CB244QU,HOME,CB12JB,WORK,536187,268790,545789,257368,33021,32781
11,C1,7:30,CAR / TAXI,2,CB245LH,HOME,CB39DN,EDUCATION,540515,270680,544072,258260,33001,32771
12,C1,7:30,CAR / TAXI,1,PE46RP,HOME,CB19JN,WORK,516986,303391,548767,256103,60371,32713
13,C1,7:30,CAR / TAXI,2,SG193AG,HOME,CB21PX,WORK,527362,255735,545092,257695,33242,32772
14,C1,7:30,CAR / TAXI,3,CB237PW,HOME,CB28PH,WORK,540516,258707,546120,256352,33152,32701
15,C1,7:30,CAR / TAXI,2,PE292LN,HOME,CB21HF,WORK,525145,269894,545350,257534,32881,33131
16,C1,7:30,CAR / TAXI,1,PE282AA,HOME,CB39HY,WORK,526911,272580,544343,257374,32851,32771
17,C1,7:30,CAR / TAXI,1,CB244RT,HOME,CB21LR,WORK,536216,268070,545554,257361,33021,33131
18,C1,7:30,LGV,1,CB244UQ,WORK,CB30AJ,WORK,536108,265789,544477,259244,33021,32753
19,C1,7:30,CAR / TAXI,1,CB236BL,HOME,CB28FH,WORK,531900,259400,545887,256889,33283,33132
20,C1,7:30,CAR / TAXI,1,CB227QD,HOME,CB39DN,WORK,542940,251601,544072,258260,33092,32771
21,C1,7:30,CAR / TAXI,1,MK443PR,HOME,CB21RT,OTHER,510986,249438,544747,257888,32302,32772
22,C1,7:30,CAR / TAXI,1,CB232RY,HOME,CB23EJ,WORK,536212,256121,545078,258192,33314,32772
23,C1,7:30,CAR / TAXI,4,PE283LE,HOME,CB21HF,WORK,536523,275020,545350,257534,32843,33131
24,C1,7:30,CAR / TAXI,1,MK453PX,HOME,CB13EP,WORK,510250,242646,546546,258848,60190,32761
25,C1,7:30,CAR / TAXI,1,PE283PU,HOME,CB21LA,WORK,538622,274927,545621,257542,32843,33131
26,C1,7:30,CAR / TAXI,2,CB231HW,HOME,CB23DZ,WORK,536192,253786,545078,258192,33321,32772
27,C1,7:30,CAR / TAXI,1,PE196UE,HOME,CB23LL,WORK,523138,256579,544873,258552,33241,32772
28,C1,7:30,CAR / TAXI,1,CB62RS,HOME,CB39HX,WORK,544597,278993,544398,257397,60339,32771
29,C1,7:30,CAR / TAXI,1,SG85TQ,HOME,CB12LA,WORK,535972,250138,545937,257344,32947,32781
30,C1,7:30,CAR / TAXI,1,CB245TZ,HOME,CB39DN,WORK,537884,270319,544072,258260,33001,32771
31,C1,7:30,CAR / TAXI,1,CB89TS,HOME,CB39JF,WORK,564193,258294,544383,257313,60279,32771
32,C1,8:00,CAR / TAXI,1,NN60HA,HOME,CB21EH,WORK,484913,263874,545292,257697,65088,33131
33,C1,8:00,CAR / TAXI,1,CB237EB,HOME,CB21DQ,WORK,538365,255593,546118,258886,33317,32773
34,C1,8:00,CAR / TAXI,1,CB243UP,HOME,CB28AH,WORK,539201,267118,545160,256441,33022,33132
35,C1,8:00,CAR / TAXI,1,PE196GS,HOME,CB21TN,WORK,518719,261427,544734,258453,33211,32753
36,C1,8:00,CAR / TAXI,1,CM232TA,HOME,CB21RX,WORK,548602,222185,544741,258046,60014,32772
37,C1,8:00,LGV,1,PE292HG,HOME,CB12EP,WORK,524280,270233,545694,257844,32881,33131
38,C1,8:00,CAR / TAXI,1,CB249PF,HOME,CB21TN,WORK,544082,262116,544734,258453,33012,32753
39,C1,8:00,CAR / TAXI,2,CB235ED,HOME,CB11BH,WORK,531067,259231,545775,258279,33255,32772
40,C1,8:00,CAR / TAXI,1,SG86UJ,HOME,CB21TN,WORK,538562,245151,544734,258453,33101,32753
41,C1,8:00,CAR / TAXI,2,CB223JR,HOME,CB39EF,WORK,549019,249351,544196,258067,32981,32771
42,C1,8:00,CAR / TAXI,1,CB231LE,HOME,CB23PQ,OTHER,540622,252096,544846,258427,33091,32772
43,C1,8:00,CAR / TAXI,1,SG175FY,HOME,CB12EU,WORK,514507,238687,545552,257751,60188,33131
44,C1,8:00,CAR / TAXI,1,PE284JS,HOME,CB21AR,WORK,517701,276660,545832,254188,32871,33111
45,C1,8:00,CAR / TAXI,1,PE262LS,HOME,CB28FH,WORK,528224,283888,545887,256889,60335,33132
46,C1,8:00,CAR / TAXI,1,CB246DL,HOME,CB30HB,WORK,547650,263125,542207,259030,32961,32771
47,C1,8:00,CAR / TAXI,1,CB238SR,HOME,CB28PE,WORK,538746,263105,546092,256570,33303,32712
48,C1,8:00,CAR / TAXI,1,CB237PW,HOME,CB215RJ,WORK,540516,258707,546120,256352,33152,32701
49,C1,8:00,CAR / TAXI,1,CB238EP,HOME,CB12JW,WORK,538389,263601,546184,257248,33303,33132
50,C1,8:00,CAR / TAXI,2,CB237BA,HOME,CB39AA,WORK,540455,255884,544001,258876,33153,32771
51,C1,8:00,CAR / TAXI,2,CB232RE,HOME,CB21QP,WORK,535960,255907,545176,258019,33318,32772
52,C1,8:00,CAR / TAXI,1,CB231LR,HOME,CB12RE,WORK,540848,252362,545996,257271,33091,33132
53,C1,8:00,CAR / TAXI,1,LE167AF,HOME,CB12JW,WORK,473282,287371,546184,257248,65002,33132
54,C1,8:00,CAR / TAXI,2,SG86AL,HOME,CB39DN,EDUCATION,538011,244272,544072,258260,33101,32771
55,C1,8:00,CAR / TAXI,1,PE296UJ,HOME,CB21RE,WORK,522806,272822,545927,257015,32863,33132
56,C1,8:00,CAR / TAXI,1,SG85QA,HOME,CB17US,WORK,536061,249994,546573,256204,32948,32701
57,C1,8:00,CAR / TAXI,2,CM241QW,REC / LEISURE,CB21QA,VISIT FRIENDS,555516,223476,545089,257786,60679,32772
58,C1,8:00,CAR / TAXI,1,CB238TR,HOME,CB21JT,WORK,538510,262983,545554,257650,33303,33131
59,C1,8:00,CAR / TAXI,1,CB90PA,HOME,CB39LH,WORK,568361,245380,543342,257668,60562,32771
60,C1,8:00,CAR / TAXI,1,PE198JQ,HOME,CB28RU,WORK,516706,258745,545832,256552,33172,33132
61,C1,8:00,CAR / TAXI,1,SG85DR,HOME,CB23NB,WORK,535250,241472,544984,258457,30901,32772
62,C1,8:00,CAR / TAXI,1,CM74BE,HOME,CB11NP,WORK,571522,232633,545173,258439,60616,32772
63,C1,8:00,CAR / TAXI,1,SG54ER,HOME,CB17QQ,WORK,520959,235978,546176,256993,31871,32712
64,C1,8:00,CAR / TAXI,2,PE196TR,HOME,CB39AA,EDUCATION,527325,259895,544001,258876,33253,32771
65,C1,8:00,CAR / TAXI,1,PE192RN,HOME,CB21HE,WORK,518703,258384,545511,257656,33185,33131
66,C1,8:00,CAR / TAXI,3,SG85QS,HOME,CB39DN,EDUCATION,536301,250312,544072,258260,32948,32771
67,C1,8:00,CAR / TAXI,1,SG86HX,HOME,CB39DF,WORK,538771,244624,544109,257864,33101,32771
68,C1,8:00,CAR / TAXI,1,CB237NU,HOME,CB39DN,EDUCATION,534827,257002,544072,258260,33313,32771
69,C1,8:00,CAR / TAXI,1,SG193AT,HOME,CB21RY,WORK,526836,255851,545927,257015,33244,33132
70,C1,8:00,CAR / TAXI,1,SG85LP,HOME,CB21RY,WORK,534013,245826,545927,257015,33417,33132
71,C1,8:00,CAR / TAXI,1,MK452RG,HOME,CB11JG,WORK,502793,237168,545687,258252,60191,32772
72,C1,8:00,CAR / TAXI,2,ST86EJ,HOME,CB39DN,EDUCATION,388774,357850,544072,258260,90021,32771
73,C1,8:30,CAR / TAXI,1,CB232RL,WORK,CB11PT,WORK,535896,256040,545944,258339,33318,32781
74,C1,8:30,CAR / TAXI,1,SG85QB,HOME,CB39AF,WORK,533838,249053,543711,258438,32947,32771
75,C1,8:30,CAR / TAXI,1,SG175DF,HOME,CB28BW,WORK,513484,238889,545753,256813,60188,33132
76,C1,8:30,CAR / TAXI,2,SG99PE,HOME,CB21RB,WORK,535945,228254,544979,257834,60091,32772
77,C1,8:30,CAR / TAXI,1,NN106ER,EMPLOYERS BUS,CB21QJ,WORK,494168,267650,545075,257979,65031,32772
78,C1,8:30,CAR / TAXI,1,CB237XR,HOME,CB21HE,WORK,537312,259121,545511,257656,33331,33131
79,C1,8:30,CAR / TAXI,1,CB237QG,HOME,CB21SJ,WORK,537593,259425,544821,258346,33332,32772
80,C1,8:30,LGV,1,SG80BG,EMPLOYERS BUS,CB28DP,EMPLOYERS BUS,532472,250254,545556,256880,32946,33132
81,C1,8:30,CAR / TAXI,1,SG80LY,HOME,CB28BH,WORK,529512,242381,545843,256917,33413,33132
82,C1,8:30,CAR / TAXI,2,CB223DA,HOME,CB42EE,EDUCATION,549012,250272,545171,260060,32981,32741
83,C1,8:30,CAR / TAXI,1,SG85PD,HOME,CB21PX,WORK,532938,244812,545092,257695,33416,32772
84,C1,8:30,CAR / TAXI,1,SG86PS,HOME,CB39DP,EDUCATION,539021,247809,544130,258080,33422,32771
85,C1,8:30,CAR / TAXI,1,SG188SP,HOME,CB21BQ,WORK,520374,243743,545472,257862,31842,32772
86,C1,8:30,CAR / TAXI,1,CB235DQ,HOME,CB28BW,WORK,531479,259525,545753,256813,33283,33132
87,C1,8:30,CAR / TAXI,1,PE296NP,HOME,CB12EU,WORK,523020,271782,545552,257751,32863,33131
88,C1,8:30,CAR / TAXI,2,CB245LF,HOME,CB20RE,WORK,540661,270197,546122,255338,33001,32701
89,C1,8:30,CAR / TAXI,1,CB63LD,HOME,CB11NL,PERSONAL BUSINESS,551210,274560,545053,258648,60338,32772
90,C1,8:30,CAR / TAXI,3,CB87QR,WORK,CB27AD,WORK,570832,268076,545115,257541,60536,33131
91,C1,8:30,CAR / TAXI,1,CB97EJ,HOME,CB39DN,REC / LEISURE,569004,240138,544072,258260,60614,32771
92,C1,8:30,CAR / TAXI,1,CB259NE,HOME,CB21RB,WORK,549850,265437,544979,257834,32991,32772
93,C1,8:30,CAR / TAXI,1,IP138LT,HOME,CB30FZ,WORK,631827,270240,542874,258918,60563,32771
94,C1,8:30,CAR / TAXI,1,NG319QP,HOME,CB23DT,WORK,492872,336935,545085,258253,65001,32772
95,C1,8:30,CAR / TAXI,1,CB226RZ,HOME,CB39DA,WORK,541480,248080,544308,257931,33092,32771
96,C1,8:30,CAR / TAXI,1,SG193LG,HOME,CB12LA,WORK,523562,252131,545937,257344,32942,32781
97,C1,8:30,CAR / TAXI,1,CO93JU,HOME,CB39LH,WORK,577862,233814,543342,257668,60614,32771
98,C1,8:30,CAR / TAXI,2,CB237DS,HOME,CB42QT,WORK,537891,256167,545858,261790,13311,32961
99,C1,8:30,CAR / TAXI,1,CB224LT,HOME,CB21XE,WORK,547216,248191,544812,258033,60307,32772
100,C1,8:30,LGV,1,AL71UE,HOME,CB40QA,WORK,524567,214461,546246,261991,60086,32961
101,C1,8:30,CAR / TAXI,1,PE289WW,HOME,CB21AB,WORK,529218,270215,545388,257999,32853,32772
102,C1,8:30,CAR / TAXI,1,CB224XT,HOME,CB39BL,WORK,545589,246269,543724,258071,60307,32771
103,C1,8:30,CAR / TAXI,1,SG87HU,HOME,CB39DZ,WORK,536280,241154,544272,258045,30903,32771
104,C1,8:30,CAR / TAXI,1,MK451DX,HOME,CB11NA,WORK,503171,235589,545687,258030,60189,32781
105,C1,8:30,CAR / TAXI,1,PE78EF,HOME,CB23AX,OTHER,517683,295290,545114,258358,60377,32772
106,C1,8:30,CAR / TAXI,1,NR192UD,HOME,CB21TN,WORK,597926,312505,544734,258453,60400,32753
107,C1,8:30,CAR / TAXI,2,CB237GN,HOME,CB39DP,WORK,538778,256583,544130,258080,33316,32771
108,C1,8:30,CAR / TAXI,2,CB216AE,WORK,CB39JZ,OTHER,553188,248562,544147,257475,60308,32771
109,C1,8:30,CAR / TAXI,1,SG89NF,HOME,CB41JN,WORK,536439,240386,545872,259118,30903,32741
110,C1,8:30,CAR / TAXI,3,IG118RQ,HOME,CB12LS,VISIT FRIENDS,544326,184730,546234,258460,70495,32781
111,C1,8:30,CAR / TAXI,1,CB237BA,HOME,CB30DY,WORK,540455,255884,544001,258876,33153,32771
112,C1,8:30,CAR / TAXI,1,CB237PZ,HOME,CB41RB,PERSONAL BUSINESS,541492,257444,546348,260174,33152,32732
113,C1,8:30,CAR / TAXI,1,CB237AL,HOME,CB21TP,WORK,541091,255476,544775,258848,33161,32753
114,C1,8:30,CAR / TAXI,1,SG192TE,HOME,CB28AR,WORK,516883,250478,545436,256012,31803,33132
115,C1,8:30,CAR / TAXI,1,PE25QF,HOME,CB23BZ,WORK,516155,295585,545165,258404,60376,32772
