"HO","DO","HR","DR","PHI"
1.00,1.00,1.00,5.00,0.00
1.00,1.00,1.00,6.00,0.00
1.00,1.00,1.00,1.00,0.03
1.00,1.00,1.00,4.00,0.08
1.00,1.00,1.00,2.00,0.19
1.00,1.00,1.00,3.00,0.62
1.00,1.00,2.00,1.00,0.00
1.00,1.00,2.00,2.00,0.00
1.00,1.00,2.00,4.00,0.00
1.00,1.00,2.00,5.00,0.00
1.00,1.00,2.00,6.00,0.00
1.00,1.00,2.00,3.00,0.02
1.00,1.00,3.00,1.00,0.00
1.00,1.00,3.00,2.00,0.00
1.00,1.00,3.00,3.00,0.00
1.00,1.00,3.00,4.00,0.00
1.00,1.00,3.00,5.00,0.00
1.00,1.00,3.00,6.00,0.00
1.00,1.00,4.00,1.00,0.00
1.00,1.00,4.00,4.00,0.00
1.00,1.00,4.00,5.00,0.00
1.00,1.00,4.00,6.00,0.00
1.00,1.00,4.00,2.00,0.01
1.00,1.00,4.00,3.00,0.02
1.00,1.00,5.00,1.00,0.00
1.00,1.00,5.00,2.00,0.00
1.00,1.00,5.00,3.00,0.00
1.00,1.00,5.00,4.00,0.00
1.00,1.00,5.00,5.00,0.00
1.00,1.00,5.00,6.00,0.00
1.00,1.00,6.00,1.00,0.00
1.00,1.00,6.00,2.00,0.00
1.00,1.00,6.00,3.00,0.00
1.00,1.00,6.00,4.00,0.00
1.00,1.00,6.00,5.00,0.00
1.00,1.00,6.00,6.00,0.00
1.00,1.00,7.00,1.00,0.00
1.00,1.00,7.00,2.00,0.00
1.00,1.00,7.00,3.00,0.00
1.00,1.00,7.00,4.00,0.00
1.00,1.00,7.00,5.00,0.00
1.00,1.00,7.00,6.00,0.00
1.00,1.00,8.00,1.00,0.00
1.00,1.00,8.00,2.00,0.00
1.00,1.00,8.00,3.00,0.00
1.00,1.00,8.00,4.00,0.00
1.00,1.00,8.00,5.00,0.00
1.00,1.00,8.00,6.00,0.00
1.00,2.00,1.00,1.00,0.00
1.00,2.00,1.00,5.00,0.00
1.00,2.00,1.00,6.00,0.00
1.00,2.00,1.00,4.00,0.23
1.00,2.00,1.00,2.00,0.25
1.00,2.00,1.00,3.00,0.45
1.00,2.00,2.00,1.00,0.00
1.00,2.00,2.00,2.00,0.00
1.00,2.00,2.00,4.00,0.00
1.00,2.00,2.00,5.00,0.00
1.00,2.00,2.00,6.00,0.00
1.00,2.00,2.00,3.00,0.01
1.00,2.00,3.00,1.00,0.00
1.00,2.00,3.00,2.00,0.00
1.00,2.00,3.00,3.00,0.00
1.00,2.00,3.00,4.00,0.00
1.00,2.00,3.00,5.00,0.00
1.00,2.00,3.00,6.00,0.00
1.00,2.00,4.00,1.00,0.00
1.00,2.00,4.00,4.00,0.00
1.00,2.00,4.00,5.00,0.00
1.00,2.00,4.00,6.00,0.00
1.00,2.00,4.00,2.00,0.01
1.00,2.00,4.00,3.00,0.02
1.00,2.00,5.00,1.00,0.00
1.00,2.00,5.00,2.00,0.00
1.00,2.00,5.00,3.00,0.00
1.00,2.00,5.00,4.00,0.00
1.00,2.00,5.00,5.00,0.00
1.00,2.00,5.00,6.00,0.00
1.00,2.00,6.00,1.00,0.00
1.00,2.00,6.00,2.00,0.00
1.00,2.00,6.00,3.00,0.00
1.00,2.00,6.00,4.00,0.00
1.00,2.00,6.00,5.00,0.00
1.00,2.00,6.00,6.00,0.00
1.00,2.00,7.00,1.00,0.00
1.00,2.00,7.00,2.00,0.00
1.00,2.00,7.00,3.00,0.00
1.00,2.00,7.00,4.00,0.00
1.00,2.00,7.00,5.00,0.00
1.00,2.00,7.00,6.00,0.00
1.00,2.00,8.00,1.00,0.00
1.00,2.00,8.00,2.00,0.00
1.00,2.00,8.00,3.00,0.00
1.00,2.00,8.00,4.00,0.00
1.00,2.00,8.00,5.00,0.00
1.00,2.00,8.00,6.00,0.00
1.00,3.00,1.00,6.00,0.00
1.00,3.00,1.00,2.00,0.01
1.00,3.00,1.00,5.00,0.02
1.00,3.00,1.00,1.00,0.02
1.00,3.00,1.00,3.00,0.44
1.00,3.00,1.00,4.00,0.47
1.00,3.00,2.00,1.00,0.00
1.00,3.00,2.00,2.00,0.00
1.00,3.00,2.00,3.00,0.00
1.00,3.00,2.00,4.00,0.00
1.00,3.00,2.00,5.00,0.00
1.00,3.00,2.00,6.00,0.00
1.00,3.00,3.00,1.00,0.00
1.00,3.00,3.00,2.00,0.00
1.00,3.00,3.00,3.00,0.00
1.00,3.00,3.00,4.00,0.00
1.00,3.00,3.00,5.00,0.00
1.00,3.00,3.00,6.00,0.00
1.00,3.00,4.00,1.00,0.00
1.00,3.00,4.00,2.00,0.00
1.00,3.00,4.00,4.00,0.00
1.00,3.00,4.00,5.00,0.00
1.00,3.00,4.00,6.00,0.00
1.00,3.00,4.00,3.00,0.01
1.00,3.00,5.00,1.00,0.00
1.00,3.00,5.00,2.00,0.00
1.00,3.00,5.00,3.00,0.00
1.00,3.00,5.00,4.00,0.00
1.00,3.00,5.00,5.00,0.00
